backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,year
/zGHdS1eLaU5wdYCJ6vY9QfQGCTo.jpg,"[878, 28, 12]",346910,en,The Predator,"When a young boy accidentally triggers the universe's most lethal hunters' return to Earth, only a ragtag crew of ex-soldiers and a disgruntled scientist can prevent the end of the human race.",109.615,/a3eWGF6YPF7No5Rbtjc8QpDvz7l.jpg,2018-09-05,The Predator,False,5.628,4487,2018
/z7noaCJ4KtmhwHw7QcNtnMMo4Qy.jpg,"[28, 53, 80]",345887,en,The Equalizer 2,"Robert McCall, who serves an unflinching justice for the exploited and oppressed, embarks on a relentless, globe-trotting quest for vengeance when his former partner is murdered.",106.451,/cQvc9N6JiMVKqol3wcYrGshsIdZ.jpg,2018-07-19,The Equalizer 2,False,6.747,5140,2018
/mabuNsGJgRuCTuGqjFkWe1xdu19.jpg,"[28, 12, 16, 10751]",260513,en,Incredibles 2,"Elastigirl springs into action to save the day, while Mr. Incredible faces his greatest challenge yet – taking care of the problems of his three children.",104.37,/9lFKBtaVIhP7E2Pk0IY1CwTKTMZ.jpg,2018-06-14,Incredibles 2,False,7.467,12555,2018
/1hJbE72WiRuWH11QPNiHsvt29xA.jpg,"[27, 28, 53]",442249,en,The First Purge,"To push the crime rate below one percent for the rest of the year, the New Founding Fathers of America test a sociological theory that vents aggression for one night in one isolated community. But when the violence of oppressors meets the rage of the others, the contagion will explode from the trial-city borders and spread across the nation.",104.306,/litjsBoiydO6JlO70uOX4N3WnNL.jpg,2018-07-04,The First Purge,False,6.005,3884,2018
/rPBeEi1tU8IhQ9rbdnlLU0d0NR.jpg,"[28, 12, 18]",445651,en,The Darkest Minds,"After a disease kills 98% of America's children, the surviving 2% develop superpowers and are placed in internment camps. A 16-year-old girl escapes her camp and joins a group of other teens on the run from the government.",101.108,/3oobSYJ3Mv0hohKU5GBHarU3ZHG.jpg,2018-07-25,The Darkest Minds,False,7.034,2739,2018
/120mn0ZPhbDWISY2cmWSYUGWCzi.jpg,"[27, 878, 28]",384521,en,The Cloverfield Paradox,"Orbiting above a planet on the brink of war, scientists test a device to solve an energy crisis and end up face-to-face with a dark alternate reality.",94.138,/vJi2ExTcWdJR3150VPKqqtdGxsT.jpg,2018-02-04,The Cloverfield Paradox,False,5.604,3152,2018
/mo5EJsExrQCroqPDwUwp6jeq0xS.jpg,"[28, 14, 878, 12]",268896,en,Pacific Rim: Uprising,"It has been ten years since The Battle of the Breach and the oceans are still, but restless. Vindicated by the victory at the Breach, the Jaeger program has evolved into the most powerful global defense force in human history. The PPDC now calls upon the best and brightest to rise up and become the next generation of heroes when the Kaiju threat returns.",92.82,/v5HlmJK9bdeHxN2QhaFP1ivjX3U.jpg,2018-03-21,Pacific Rim: Uprising,False,6.136,4795,2018
/vm8mhrjk5nQ562UQ0KbUzi0yOHr.jpg,"[28, 12, 878]",427641,en,Rampage,"Primatologist Davis Okoye shares an unshakable bond with George, the extraordinarily intelligent, silverback gorilla who has been in his care since birth.  But a rogue genetic experiment gone awry mutates this gentle ape into a raging creature of enormous size.  To make matters worse, it’s soon discovered there are other similarly altered animals.  As these newly created alpha predators tear across North America, destroying everything in their path, Okoye teams with a discredited genetic engineer to secure an antidote, fighting his way through an ever-changing battlefield, not only to halt a global catastrophe but to save the fearsome creature that was once his friend.",90.532,/MGADip4thVSErP34FAAfzFBTZ5.jpg,2018-04-11,Rampage,False,6.461,6862,2018
/m03jul0YdVEOFXEQVUv6pOVQYGL.jpg,"[16, 35, 10751, 14]",400155,en,Hotel Transylvania 3: Summer Vacation,"Dracula, Mavis, Johnny and the rest of the Drac Pack take a vacation on a luxury Monster Cruise Ship, where Dracula falls in love with the ship’s captain, Ericka, who’s secretly a descendant of Abraham Van Helsing, the notorious monster slayer.",86.03,/gjAFM4xhA5vyLxxKMz38ujlUfDL.jpg,2018-06-28,Hotel Transylvania 3: Summer Vacation,False,6.872,4269,2018
/ibKeXahq4JD63z6uWQphqoJLvNw.jpg,"[28, 878, 27]",345940,en,The Meg,"A deep sea submersible pilot revisits his past fears in the Mariana Trench, and accidentally unleashes the seventy foot ancestor of the Great White Shark believed to be extinct.",83.358,/eyWICPcxOuTcDDDbTMOZawoOn8d.jpg,2018-08-09,The Meg,False,6.257,7432,2018
/4DUoPZOHdPuROP4nyEIsPaMIiQl.jpg,"[27, 9648, 53]",493922,en,Hereditary,"Following the death of Ellen Leigh, the matriarch of their family, her daughter Annie and the rest of the family start to uncover disturbing secrets about their heritage.  Their daily lives are not only impacted, but they also become entangled in a chilling fate from which they cannot escape, driving them to the brink of madness.",82.311,/p9fmuz2Oj3HtEJEqbIwkFGUhVXD.jpg,2018-06-07,Hereditary,False,7.29,7353,2018
/bLJTjfbZ1c5zSNiAvGYs1Uc82ir.jpg,"[28, 12, 14]",338970,en,Tomb Raider,"Lara Croft, the fiercely independent daughter of a missing adventurer, must push herself beyond her limits when she finds herself on the island where her father disappeared.",82.197,/ePyN2nX9t8SOl70eRW47Q29zUFO.jpg,2018-03-05,Tomb Raider,False,6.359,7608,2018
/tnwMCH4yLBY4qpe6Nr4n66u4U3f.jpg,"[28, 80, 53]",400535,en,Sicario: Day of the Soldado,Agent Matt Graver teams up with operative Alejandro Gillick to prevent Mexican drug cartels from smuggling terrorists across the United States border.,80.022,/msqWSQkU403cQKjQHnWLnugv7EY.jpg,2018-06-27,Sicario: Day of the Soldado,False,6.917,3438,2018
/qDQEQbgP3v7B9IYLAUcYexNrVYP.jpg,"[10751, 16, 35, 12]",404368,en,Ralph Breaks the Internet,"Video game bad guy Ralph and fellow misfit Vanellope von Schweetz must risk it all by traveling to the World Wide Web in search of a replacement part to save Vanellope's video game, Sugar Rush. In way over their heads, Ralph and Vanellope rely on the citizens of the internet — the netizens — to help navigate their way, including an entrepreneur named Yesss, who is the head algorithm and the heart and soul of trend-making site BuzzzTube.",80.006,/iVCrhBcpDaHGvv7CLYbK6PuXZo1.jpg,2018-11-20,Ralph Breaks the Internet,False,7.191,7359,2018
/zGCfnZ3bCowMY9So9ZGpsyuOYl3.jpg,"[878, 28, 12, 53]",336843,en,Maze Runner: The Death Cure,"Thomas leads his group of escaped Gladers on their final and most dangerous mission yet. To save their friends, they must break into the legendary Last City, a WCKD-controlled labyrinth that may turn out to be the deadliest maze of all. Anyone who makes it out alive will get answers to the questions the Gladers have been asking since they first arrived in the maze.",77.903,/2zYfzA3TBwrMC8tfFbpiTLODde0.jpg,2018-01-10,Maze Runner: The Death Cure,False,7.11,7529,2018
/bb362waz16FQtnTgEGDtdnFTUGW.jpg,"[35, 10749]",455207,en,Crazy Rich Asians,"An American-born Chinese economics professor accompanies her boyfriend to Singapore for his best friend's wedding, only to get thrust into the lives of Asia's rich and famous.",77.654,/1XxL4LJ5WHdrcYcihEZUCgNCpAW.jpg,2018-08-15,Crazy Rich Asians,False,7.065,3536,2018
